Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,4526.0,5020.0,1214.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5856.0,41863.0,2342.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
3,244.0,30324.0,51171.0,1896.0,5.0,1.0,0.0,0.0,0.0,0.0
4,0.0,773.0,39420.0,69204.0,4348.0,8.0,11.0,1.0,0.0,0.0
5,0.0,0.0,1482.0,51546.0,138636.0,19841.0,541.0,249.0,253.0,15.0
6,0.0,0.0,4.0,1888.0,99075.0,245511.0,30675.0,1766.0,1613.0,391.0
7,0.0,0.0,0.0,0.0,2078.0,83677.0,170629.0,11563.0,2872.0,1189.0
8,0.0,0.0,0.0,0.0,11.0,1905.0,53256.0,42376.0,4556.0,1541.0
9,0.0,0.0,0.0,0.0,0.0,4.0,905.0,11272.0,14416.0,2980.0
10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,131.0,2491.0,1474.0
