,slice20_perisomatic,slice20_distal,ratio
-C,181972202,470991845,0.38635956000469607
-B,51491843,105629113,0.4874777562507791
-A,133791134,1304808308,0.10253700346610607
A,9520372,13240706,0.719022988653324
B,4934813,14183439,0.34792781919815075
C,17155135,25766518,0.6657917457065794
D,15111323,119889770,0.1260434731003321
E,17155135,25766518,0.6657917457065794
F,13066838,165231846,0.0790818375290681
G,1988634,13208172,0.15056088003699528
H,88171914,541720588,0.16276271560127598
I,27482090,962665182,0.028547921451676644
J,19122295,254752523,0.07506223991351796
K,42827434,480947384,0.08904806518294733
L,143472993,6275147963,0.022863682871855178
M,903655374,252665643384,0.003576486940991138
